!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol),!sigma[dG0] (kJ/mol),!pH,!I (mM),!T (Kelvin),!Note
R00138,,,8.5,0.1,298.15,uncertainty is too high
R00139,2.6,17.6,8.5,0.1,298.15,
R00140,-1.4,16.1,8.5,0.1,298.15,
R00141,,,8.5,0.1,298.15,uncertainty is too high
R00143,,,8.5,0.1,298.15,uncertainty is too high
R00145,,,8.5,0.1,298.15,uncertainty is too high
R00146,,,8.5,0.1,298.15,uncertainty is too high
R00148,,,8.5,0.1,298.15,uncertainty is too high
R00149,-30.6,7.9,8.5,0.1,298.15,
R00150,3.3,7.9,8.5,0.1,298.15,
R00152,,,8.5,0.1,298.15,uncertainty is too high
R00153,-99.8,7.2,8.5,0.1,298.15,
R00155,-29.4,6.3,8.5,0.1,298.15,
R00156,-2.7,2.5,8.5,0.1,298.15,
R00157,1.5,2.5,8.5,0.1,298.15,
R00158,-4.5,6.3,8.5,0.1,298.15,
R00159,-31.2,2.5,8.5,0.1,298.15,
R00160,-31.4,9.4,8.5,0.1,298.15,
R00161,-18.6,9.4,8.5,0.1,298.15,
R00162,,,8.5,0.1,298.15,uncertainty is too high
R00164,,,8.5,0.1,298.15,uncertainty is too high
R00165,,,8.5,0.1,298.15,uncertainty is too high
R00166,,,8.5,0.1,298.15,uncertainty is too high
R00167,,,8.5,0.1,298.15,uncertainty is too high
R00168,,,8.5,0.1,298.15,uncertainty is too high
R00169,,,8.5,0.1,298.15,uncertainty is too high
R00170,,,8.5,0.1,298.15,uncertainty is too high
R00172,,,8.5,0.1,298.15,uncertainty is too high
R00173,-10.4,14.6,8.5,0.1,298.15,
R00174,-23.5,3.9,8.5,0.1,298.15,
R00175,,,8.5,0.1,298.15,uncertainty is too high
R00177,,,8.5,0.1,298.15,uncertainty is too high
R00178,,,8.5,0.1,298.15,uncertainty is too high
R00179,,,8.5,0.1,298.15,uncertainty is too high
R00180,,,8.5,0.1,298.15,uncertainty is too high
R00181,-23.9,3.8,8.5,0.1,298.15,
R00182,-17.6,3.0,8.5,0.1,298.15,
R00183,-13.7,2.8,8.5,0.1,298.15,
R00184,-49.8,18.3,8.5,0.1,298.15,
R00185,-20.3,2.8,8.5,0.1,298.15,
R00187,,,8.5,0.1,298.15,uncertainty is too high
R00188,-10.3,6.1,8.5,0.1,298.15,
R00189,-31.1,25.3,8.5,0.1,298.15,
R00190,24.0,2.6,8.5,0.1,298.15,
R00191,-49.9,2.2,8.5,0.1,298.15,
R00192,34.7,5.8,8.5,0.1,298.15,
R00193,-15.8,5.6,8.5,0.1,298.15,
R00194,-15.1,5.4,8.5,0.1,298.15,
R00195,1.6,7.3,8.5,0.1,298.15,
R00196,,,8.5,0.1,298.15,uncertainty is too high
R00197,,,8.5,0.1,298.15,uncertainty is too high
R00198,,,8.5,0.1,298.15,uncertainty is too high
R00199,-13.1,1.0,8.5,0.1,298.15,
R00200,19.5,0.8,8.5,0.1,298.15,
R00203,-46.1,4.1,8.5,0.1,298.15,
R00205,-45.2,4.1,8.5,0.1,298.15,
R00206,3.5,1.0,8.5,0.1,298.15,
R00207,-150.9,10.4,8.5,0.1,298.15,
R00208,-53.4,1.1,8.5,0.1,298.15,
R00209,-34.7,6.4,8.5,0.1,298.15,
R00210,-33.8,6.4,8.5,0.1,298.15,
R00211,-159.6,10.3,8.5,0.1,298.15,
R00212,20.6,3.0,8.5,0.1,298.15,
R00213,,,8.5,0.1,298.15,uncertainty is too high
R00214,13.0,6.2,8.5,0.1,298.15,
R00215,22.3,10.3,8.5,0.1,298.15,
R00216,14.0,6.2,8.5,0.1,298.15,
R00217,-8.8,6.2,8.5,0.1,298.15,
R00218,,,8.5,0.1,298.15,uncertainty is too high
R00219,14.5,8.5,8.5,0.1,298.15,
R00220,-28.4,1.8,8.5,0.1,298.15,
R00221,-27.5,5.8,8.5,0.1,298.15,
R00223,-28.6,3.5,8.5,0.1,298.15,
R00224,-9.8,6.5,8.5,0.1,298.15,
R00226,23.7,7.4,8.5,0.1,298.15,
R00227,-39.1,1.0,8.5,0.1,298.15,
R00228,-25.0,2.4,8.5,0.1,298.15,
R00229,5.2,0.8,8.5,0.1,298.15,
R00230,8.7,1.2,8.5,0.1,298.15,
R00233,-9.2,6.3,8.5,0.1,298.15,
R00234,,,8.5,0.1,298.15,uncertainty is too high
R00235,-10.9,0.8,8.5,0.1,298.15,
R00236,,,8.5,0.1,298.15,uncertainty is too high
R00237,9.2,30.2,8.5,0.1,298.15,
R00238,25.5,1.7,8.5,0.1,298.15,
R00239,26.6,4.5,8.5,0.1,298.15,
R00241,17.9,4.5,8.5,0.1,298.15,
R00243,29.1,0.6,8.5,0.1,298.15,
R00245,-60.4,4.0,8.5,0.1,298.15,
R00248,30.0,0.7,8.5,0.1,298.15,
R00250,-95.8,8.3,8.5,0.1,298.15,
R00251,-15.0,6.2,8.5,0.1,298.15,
R00253,-21.4,1.6,8.5,0.1,298.15,
R00254,39.2,9.5,8.5,0.1,298.15,
R00256,-12.5,1.7,8.5,0.1,298.15,
R00257,-43.5,25.3,8.5,0.1,298.15,
R00258,-0.4,1.1,8.5,0.1,298.15,
R00259,-36.0,6.5,8.5,0.1,298.15,
R00260,0.6,4.3,8.5,0.1,298.15,
R00261,-16.0,6.9,8.5,0.1,298.15,
R00262,-7.6,4.7,8.5,0.1,298.15,
R00263,,,8.5,0.1,298.15,uncertainty is too high
R00264,-52.3,4.0,8.5,0.1,298.15,
R00265,-25.7,7.7,8.5,0.1,298.15,
R00267,6.4,6.3,8.5,0.1,298.15,
R00268,-7.0,7.8,8.5,0.1,298.15,
R00269,-0.6,4.7,8.5,0.1,298.15,
R00270,42.2,6.4,8.5,0.1,298.15,
R00271,-37.5,5.4,8.5,0.1,298.15,
R00272,-10.3,6.7,8.5,0.1,298.15,
R00273,-147.9,15.4,8.5,0.1,298.15,
R00274,-308.7,6.6,8.5,0.1,298.15,
R00275,,,8.5,0.1,298.15,uncertainty is too high
R00276,177.8,11.7,8.5,0.1,298.15,
R00277,-97.8,17.0,8.5,0.1,298.15,
R00278,-115.9,16.8,8.5,0.1,298.15,
R00279,-96.4,9.3,8.5,0.1,298.15,
R00280,,,8.5,0.1,298.15,uncertainty is too high
R00281,,,8.5,0.1,298.15,uncertainty is too high
R00282,,,8.5,0.1,298.15,uncertainty is too high
R00283,,,8.5,0.1,298.15,uncertainty is too high
R00284,,,8.5,0.1,298.15,uncertainty is too high
R00286,-39.0,4.3,8.5,0.1,298.15,
R00287,-46.4,7.5,8.5,0.1,298.15,
R00289,2.3,1.1,8.5,0.1,298.15,
R00291,2.9,1.6,8.5,0.1,298.15,
R00292,153.5,3.0,8.5,0.1,298.15,
R00293,-56.2,4.9,8.5,0.1,298.15,
R00294,,,8.5,0.1,298.15,uncertainty is too high
R00295,,,8.5,0.1,298.15,uncertainty is too high
R00296,,,8.5,0.1,298.15,uncertainty is too high
R00297,,,8.5,0.1,298.15,uncertainty is too high
R00298,,,8.5,0.1,298.15,uncertainty is too high
R00299,-25.3,0.9,8.5,0.1,298.15,
R00300,-12.0,2.2,8.5,0.1,298.15,
R00301,-13.1,4.1,8.5,0.1,298.15,
R00302,-127.4,8.9,8.5,0.1,298.15,
R00303,-8.6,0.9,8.5,0.1,298.15,
R00304,-16.0,1.6,8.5,0.1,298.15,
R00305,,,8.5,0.1,298.15,uncertainty is too high
R00306,-12.9,3.7,8.5,0.1,298.15,
R00307,-0.2,0.6,8.5,0.1,298.15,
R00308,-186.5,1.6,8.5,0.1,298.15,
R00310,,,8.5,0.1,298.15,uncertainty is too high
R00311,,,8.5,0.1,298.15,uncertainty is too high
R00312,,,8.5,0.1,298.15,uncertainty is too high
R00313,,,8.5,0.1,298.15,uncertainty is too high
R00314,,,8.5,0.1,298.15,uncertainty is too high
R00315,13.9,1.1,8.5,0.1,298.15,
R00316,,,8.5,0.1,298.15,uncertainty is too high
R00317,-47.8,1.3,8.5,0.1,298.15,
R00318,-86.1,13.8,8.5,0.1,298.15,
R00319,-497.7,8.8,8.5,0.1,298.15,
R00320,31.2,1.3,8.5,0.1,298.15,
R00321,-23.7,4.7,8.5,0.1,298.15,
R00322,,,8.5,0.1,298.15,uncertainty is too high
R00324,-63.8,4.2,8.5,0.1,298.15,
R00325,2.2,2.3,8.5,0.1,298.15,
R00326,,,8.5,0.1,298.15,uncertainty is too high
R00327,-37.0,4.6,8.5,0.1,298.15,
R00328,-31.8,2.4,8.5,0.1,298.15,
R00329,,,8.5,0.1,298.15,uncertainty is too high
R00330,-2.5,2.6,8.5,0.1,298.15,
R00331,,,8.5,0.1,298.15,uncertainty is too high
R00332,-2.1,2.4,8.5,0.1,298.15,
R00333,,,8.5,0.1,298.15,uncertainty is too high
R00334,,,8.5,0.1,298.15,uncertainty is too high
R00335,-31.4,2.7,8.5,0.1,298.15,
R00336,,,8.5,0.1,298.15,uncertainty is too high
R00337,-34.4,6.6,8.5,0.1,298.15,
R00338,-59.6,6.7,8.5,0.1,298.15,
R00339,-35.3,3.9,8.5,0.1,298.15,
R00340,-35.3,3.9,8.5,0.1,298.15,
R00341,10.8,6.2,8.5,0.1,298.15,
R00342,21.8,0.6,8.5,0.1,298.15,
R00343,22.7,0.9,8.5,0.1,298.15,
R00344,-11.8,1.4,8.5,0.1,298.15,
R00345,44.7,6.2,8.5,0.1,298.15,
R00346,28.1,6.2,8.5,0.1,298.15,
R00347,-26.2,4.3,8.5,0.1,298.15,
R00348,-7.8,5.0,8.5,0.1,298.15,
R00350,18.8,5.4,8.5,0.1,298.15,
R00351,43.7,0.9,8.5,0.1,298.15,
R00352,9.8,0.9,8.5,0.1,298.15,
R00353,-0.5,2.9,8.5,0.1,298.15,
R00354,15.4,29.9,8.5,0.1,298.15,
R00355,2.8,1.1,8.5,0.1,298.15,
R00357,-93.0,8.3,8.5,0.1,298.15,
R00359,-97.9,9.1,8.5,0.1,298.15,
R00360,-103.1,8.3,8.5,0.1,298.15,
R00361,,,8.5,0.1,298.15,uncertainty is too high
R00362,4.6,0.9,8.5,0.1,298.15,
R00363,5.7,5.8,8.5,0.1,298.15,
R00364,,,8.5,0.1,298.15,uncertainty is too high
R00365,37.2,3.2,8.5,0.1,298.15,
R00366,-87.7,8.8,8.5,0.1,298.15,
R00367,,,8.5,0.1,298.15,uncertainty is too high
R00368,24.8,7.8,8.5,0.1,298.15,
R00369,-8.5,3.3,8.5,0.1,298.15,
R00371,31.7,4.1,8.5,0.1,298.15,
R00372,8.1,3.2,8.5,0.1,298.15,
R00373,5.4,3.2,8.5,0.1,298.15,
R00374,,,8.5,0.1,298.15,uncertainty is too high
R00375,85.9,7.3,8.5,0.1,298.15,
R00376,,,8.5,0.1,298.15,uncertainty is too high
R00377,409.9,9.9,8.5,0.1,298.15,
R00378,589.2,10.3,8.5,0.1,298.15,
R00380,,,8.5,0.1,298.15,uncertainty is too high
R00383,,,8.5,0.1,298.15,uncertainty is too high
R00384,,,8.5,0.1,298.15,uncertainty is too high
R00385,,,8.5,0.1,298.15,uncertainty is too high
R00387,,,8.5,0.1,298.15,uncertainty is too high
R00388,,,8.5,0.1,298.15,uncertainty is too high
R00389,,,8.5,0.1,298.15,uncertainty is too high
R00390,,,8.5,0.1,298.15,uncertainty is too high
R00391,,,8.5,0.1,298.15,uncertainty is too high
R00392,,,8.5,0.1,298.15,uncertainty is too high
R00393,,,8.5,0.1,298.15,uncertainty is too high
R00394,,,8.5,0.1,298.15,uncertainty is too high
R00395,,,8.5,0.1,298.15,uncertainty is too high
R00396,28.7,1.1,8.5,0.1,298.15,
R00397,-5.6,6.3,8.5,0.1,298.15,
R00398,28.1,5.8,8.5,0.1,298.15,
R00399,33.5,7.2,8.5,0.1,298.15,
R00400,-3.2,1.4,8.5,0.1,298.15,
R00401,-0.0,2.0,8.5,0.1,298.15,
R00402,54.6,4.1,8.5,0.1,298.15,
R00405,-0.3,2.6,8.5,0.1,298.15,
R00406,-4.8,7.4,8.5,0.1,298.15,
R00407,-33.6,2.7,8.5,0.1,298.15,
R00408,54.7,7.1,8.5,0.1,298.15,
R00409,9.3,5.9,8.5,0.1,298.15,
R00410,11.2,1.3,8.5,0.1,298.15,
R00411,-2.9,7.0,8.5,0.1,298.15,
R00412,,,8.5,0.1,298.15,uncertainty is too high
R00414,-31.2,6.6,8.5,0.1,298.15,
R00416,-1.3,10.6,8.5,0.1,298.15,
R00417,,,8.5,0.1,298.15,uncertainty is too high
R00418,0.0,5.3,8.5,0.1,298.15,
R00420,0.0,5.3,8.5,0.1,298.15,
R00421,-43.1,5.9,8.5,0.1,298.15,
R00422,,,8.5,0.1,298.15,uncertainty is too high
R00423,,,8.5,0.1,298.15,uncertainty is too high
R00424,-97.9,14.3,8.5,0.1,298.15,
R00425,-88.6,11.2,8.5,0.1,298.15,
R00426,-46.6,3.7,8.5,0.1,298.15,
R00428,-4.3,5.8,8.5,0.1,298.15,
R00429,-23.7,15.9,8.5,0.1,298.15,
R00430,22.1,2.8,8.5,0.1,298.15,
R00431,13.3,6.7,8.5,0.1,298.15,
R00432,2.2,0.9,8.5,0.1,298.15,
R00434,-0.1,5.9,8.5,0.1,298.15,
R00435,255.5,2.8,8.5,0.1,298.15,
R00436,,,8.5,0.1,298.15,uncertainty is too high
R00437,-272.8,2.7,8.5,0.1,298.15,
R00438,-877.8,9.1,8.5,0.1,298.15,
R00439,,,8.5,0.1,298.15,uncertainty is too high
R00440,-601.8,8.6,8.5,0.1,298.15,
R00441,,,8.5,0.1,298.15,uncertainty is too high
R00442,585.1,9.3,8.5,0.1,298.15,
R00443,863.2,9.1,8.5,0.1,298.15,
R00444,,,8.5,0.1,298.15,uncertainty is too high
R00445,9.8,18.6,8.5,0.1,298.15,
R00446,26.4,4.4,8.5,0.1,298.15,
R00447,-105.4,9.2,8.5,0.1,298.15,
R00448,,,8.5,0.1,298.15,uncertainty is too high
R00449,-469.4,9.6,8.5,0.1,298.15,
R00451,-8.3,7.3,8.5,0.1,298.15,
R00452,32.3,12.8,8.5,0.1,298.15,
R00453,-2.3,4.4,8.5,0.1,298.15,
R00454,-32.6,4.2,8.5,0.1,298.15,
R00457,-2.7,4.4,8.5,0.1,298.15,
R00458,-6.5,10.3,8.5,0.1,298.15,
R00459,-116.3,18.5,8.5,0.1,298.15,
R00460,0.0,5.8,8.5,0.1,298.15,
R00461,-4.4,4.1,8.5,0.1,298.15,
R00462,-16.6,6.9,8.5,0.1,298.15,
R00463,17.4,12.1,8.5,0.1,298.15,
R00465,37.0,1.8,8.5,0.1,298.15,
R00466,-165.4,10.6,8.5,0.1,298.15,
R00468,-15.4,2.6,8.5,0.1,298.15,
R00469,-9.6,9.6,8.5,0.1,298.15,
R00470,17.8,3.0,8.5,0.1,298.15,
R00471,15.4,4.4,8.5,0.1,298.15,
R00472,41.8,4.1,8.5,0.1,298.15,
R00473,13.0,5.8,8.5,0.1,298.15,
R00474,19.5,7.7,8.5,0.1,298.15,
R00475,-88.8,8.4,8.5,0.1,298.15,
R00476,,,8.5,0.1,298.15,uncertainty is too high
R00477,21.3,10.3,8.5,0.1,298.15,
R00478,2.1,5.4,8.5,0.1,298.15,
R00479,8.7,2.7,8.5,0.1,298.15,
R00480,16.0,5.8,8.5,0.1,298.15,
R00481,-68.8,9.4,8.5,0.1,298.15,
R00482,-16.6,7.0,8.5,0.1,298.15,
R00483,-32.7,7.1,8.5,0.1,298.15,
R00484,-15.7,9.8,8.5,0.1,298.15,
R00485,-17.3,7.0,8.5,0.1,298.15,
R00486,,,8.5,0.1,298.15,uncertainty is too high
R00487,-26.6,4.7,8.5,0.1,298.15,
R00488,-12.5,4.8,8.5,0.1,298.15,
R00489,-12.1,11.8,8.5,0.1,298.15,
R00490,13.5,0.9,8.5,0.1,298.15,
R00491,4.9,3.9,8.5,0.1,298.15,
R00493,,,8.5,0.1,298.15,uncertainty is too high
R00494,-3.8,5.2,8.5,0.1,298.15,
R00497,-32.1,15.8,8.5,0.1,298.15,
R00499,-37.4,18.9,8.5,0.1,298.15,
R00501,-43.0,5.0,8.5,0.1,298.15,
R00502,-0.6,3.6,8.5,0.1,298.15,
R00503,-18.1,4.4,8.5,0.1,298.15,
R00504,,,8.5,0.1,298.15,uncertainty is too high
R00505,4.6,3.6,8.5,0.1,298.15,
R00506,150.6,3.4,8.5,0.1,298.15,
R00507,-100.7,14.1,8.5,0.1,298.15,
R00508,-12.1,11.5,8.5,0.1,298.15,
R00509,-21.8,11.5,8.5,0.1,298.15,
R00510,-14.8,5.9,8.5,0.1,298.15,
R00511,-14.6,5.4,8.5,0.1,298.15,
R00512,-1.9,5.8,8.5,0.1,298.15,
R00513,-19.3,5.5,8.5,0.1,298.15,
R00514,-32.0,5.8,8.5,0.1,298.15,
R00515,-48.7,4.6,8.5,0.1,298.15,
R00516,-16.6,6.0,8.5,0.1,298.15,
R00517,-16.8,6.0,8.5,0.1,298.15,
R00518,-10.4,11.5,8.5,0.1,298.15,
R00519,-14.1,6.5,8.5,0.1,298.15,
R00521,-19.7,11.5,8.5,0.1,298.15,
R00522,-8.9,8.6,8.5,0.1,298.15,
R00524,-32.5,12.2,8.5,0.1,298.15,
R00525,-33.5,11.0,8.5,0.1,298.15,
R00526,-31.6,11.2,8.5,0.1,298.15,
R00527,-19.9,20.4,8.5,0.1,298.15,
R00528,,,8.5,0.1,298.15,uncertainty is too high
R00529,48.8,2.3,8.5,0.1,298.15,
R00530,66.2,2.3,8.5,0.1,298.15,
R00531,-98.8,2.5,8.5,0.1,298.15,
R00532,,,8.5,0.1,298.15,uncertainty is too high
R00533,-173.2,11.0,8.5,0.1,298.15,
R00534,,,8.5,0.1,298.15,uncertainty is too high
R00535,,,8.5,0.1,298.15,uncertainty is too high
R00536,,,8.5,0.1,298.15,uncertainty is too high
R00537,,,8.5,0.1,298.15,uncertainty is too high
R00538,,,8.5,0.1,298.15,uncertainty is too high
R00539,,,8.5,0.1,298.15,uncertainty is too high
R00540,,,8.5,0.1,298.15,uncertainty is too high
R00542,,,8.5,0.1,298.15,uncertainty is too high
R00543,,,8.5,0.1,298.15,uncertainty is too high
R00544,,,8.5,0.1,298.15,uncertainty is too high
R00545,,,8.5,0.1,298.15,uncertainty is too high
R00546,,,8.5,0.1,298.15,uncertainty is too high
R00547,,,8.5,0.1,298.15,uncertainty is too high
R00548,-36.1,11.7,8.5,0.1,298.15,
R00549,2.2,33.9,8.5,0.1,298.15,
R00550,20.1,33.9,8.5,0.1,298.15,
R00551,-28.4,12.5,8.5,0.1,298.15,
R00552,-35.7,6.7,8.5,0.1,298.15,
R00554,-2.4,1.1,8.5,0.1,298.15,
R00555,,,8.5,0.1,298.15,uncertainty is too high
R00557,-1252.7,30.0,8.5,0.1,298.15,
R00558,,,8.5,0.1,298.15,uncertainty is too high
R00559,-457.7,13.5,8.5,0.1,298.15,
R00562,26.8,5.8,8.5,0.1,298.15,
R00563,17.0,18.7,8.5,0.1,298.15,
R00565,0.5,5.8,8.5,0.1,298.15,
R00566,-4.9,11.9,8.5,0.1,298.15,
R00567,8.4,10.1,8.5,0.1,298.15,
R00568,-25.3,4.8,8.5,0.1,298.15,
R00569,-33.3,4.6,8.5,0.1,298.15,
R00570,-0.6,4.6,8.5,0.1,298.15,
R00571,-8.6,4.8,8.5,0.1,298.15,
R00572,20.1,4.7,8.5,0.1,298.15,
R00573,-21.1,5.1,8.5,0.1,298.15,
R00574,-2.5,5.7,8.5,0.1,298.15,
R00575,-29.7,5.2,8.5,0.1,298.15,
R00576,-11.5,4.4,8.5,0.1,298.15,
R00577,,,8.5,0.1,298.15,uncertainty is too high
R00578,-45.1,7.2,8.5,0.1,298.15,
R00579,7.6,6.4,8.5,0.1,298.15,
R00581,33.4,1.6,8.5,0.1,298.15,
R00582,-10.1,0.5,8.5,0.1,298.15,
R00584,-6.5,0.7,8.5,0.1,298.15,
R00585,4.7,1.5,8.5,0.1,298.15,
R00586,-8.2,5.8,8.5,0.1,298.15,
R00588,-3.8,3.4,8.5,0.1,298.15,
R00589,-0.9,5.9,8.5,0.1,298.15,
R00590,-4.5,3.5,8.5,0.1,298.15,
R00594,,,8.5,0.1,298.15,uncertainty is too high
R00595,,,8.5,0.1,298.15,uncertainty is too high
R00596,,,8.5,0.1,298.15,uncertainty is too high
R00597,,,8.5,0.1,298.15,uncertainty is too high
R00598,,,8.5,0.1,298.15,uncertainty is too high
R00599,,,8.5,0.1,298.15,uncertainty is too high
R00600,,,8.5,0.1,298.15,uncertainty is too high
R00601,,,8.5,0.1,298.15,uncertainty is too high
R00602,-292.3,9.2,8.5,0.1,298.15,
R00603,,,8.5,0.1,298.15,uncertainty is too high
R00604,-60.1,3.9,8.5,0.1,298.15,
R00605,25.7,6.5,8.5,0.1,298.15,
R00606,,,8.5,0.1,298.15,uncertainty is too high
R00608,-99.2,10.4,8.5,0.1,298.15,
R00609,,,8.5,0.1,298.15,uncertainty is too high
R00610,-77.4,11.4,8.5,0.1,298.15,
R00611,,,8.5,0.1,298.15,uncertainty is too high
R00612,-69.2,15.5,8.5,0.1,298.15,
R00614,-85.7,8.4,8.5,0.1,298.15,
R00615,,,8.5,0.1,298.15,uncertainty is too high
R00616,,,8.5,0.1,298.15,uncertainty is too high
R00617,-2.0,3.5,8.5,0.1,298.15,
R00618,,,8.5,0.1,298.15,uncertainty is too high
R00619,,,8.5,0.1,298.15,uncertainty is too high
R00621,,,8.5,0.1,298.15,uncertainty is too high
R00623,,,8.5,0.1,298.15,uncertainty is too high
R00624,,,8.5,0.1,298.15,uncertainty is too high
R00625,,,8.5,0.1,298.15,uncertainty is too high
R00626,,,8.5,0.1,298.15,uncertainty is too high
R00627,,,8.5,0.1,298.15,uncertainty is too high
