!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol),!sigma[dG0] (kJ/mol),!pH,!I (mM),!T (Kelvin),!Note
R00002,-885.0,47.4,8.5,0.1,298.15,
R00004,-16.6,0.4,8.5,0.1,298.15,
R00005,-54.9,15.2,8.5,0.1,298.15,
R00006,23.7,7.4,8.5,0.1,298.15,
R00008,16.3,4.7,8.5,0.1,298.15,
R00009,-193.1,13.3,8.5,0.1,298.15,
R00010,-11.7,2.1,8.5,0.1,298.15,
R00011,,,8.5,0.1,298.15,uncertainty is too high
R00012,15.6,15.0,8.5,0.1,298.15,
R00013,-11.1,8.8,8.5,0.1,298.15,
R00014,,,8.5,0.1,298.15,uncertainty is too high
R00015,-6.2,10.7,8.5,0.1,298.15,
R00016,-1.4,5.2,8.5,0.1,298.15,
R00017,,,8.5,0.1,298.15,uncertainty is too high
R00018,-1.6,15.6,8.5,0.1,298.15,
R00019,30.2,13.0,8.5,0.1,298.15,
R00021,54.5,11.8,8.5,0.1,298.15,
R00022,-13.6,18.3,8.5,0.1,298.15,
R00023,,,8.5,0.1,298.15,uncertainty is too high
R00024,-45.2,7.5,8.5,0.1,298.15,
R00025,,,8.5,0.1,298.15,uncertainty is too high
R00026,-12.9,3.7,8.5,0.1,298.15,
R00027,7.8,20.1,8.5,0.1,298.15,
R00028,-14.6,3.1,8.5,0.1,298.15,
R00029,,,8.5,0.1,298.15,uncertainty is too high
R00031,-523.0,15.4,8.5,0.1,298.15,
R00032,-364.6,88.8,8.5,0.1,298.15,
R00033,,,8.5,0.1,298.15,uncertainty is too high
R00034,,,8.5,0.1,298.15,uncertainty is too high
R00036,-109.5,9.7,8.5,0.1,298.15,
R00038,-10.0,4.4,8.5,0.1,298.15,
R00039,1.0,6.3,8.5,0.1,298.15,
R00041,,,8.5,0.1,298.15,uncertainty is too high
R00042,-671.6,20.3,8.5,0.1,298.15,
R00043,-378.0,26.8,8.5,0.1,298.15,
R00044,,,8.5,0.1,298.15,uncertainty is too high
R00045,-383.7,20.7,8.5,0.1,298.15,
R00047,,,8.5,0.1,298.15,uncertainty is too high
R00048,-57.9,9.7,8.5,0.1,298.15,
R00049,-9.0,39.2,8.5,0.1,298.15,
R00052,,,8.5,0.1,298.15,uncertainty is too high
R00053,-62.8,33.2,8.5,0.1,298.15,
R00054,-64.5,24.7,8.5,0.1,298.15,
R00055,-423.3,10.5,8.5,0.1,298.15,
R00056,,,8.5,0.1,298.15,uncertainty is too high
R00057,,,8.5,0.1,298.15,uncertainty is too high
R00058,-276.5,24.5,8.5,0.1,298.15,
R00059,2.1,11.1,8.5,0.1,298.15,
R00060,,,8.5,0.1,298.15,uncertainty is too high
R00061,,,8.5,0.1,298.15,uncertainty is too high
R00062,0.0,162.8,8.5,0.1,298.15,
R00063,-6.6,7.8,8.5,0.1,298.15,
R00066,-153.8,34.0,8.5,0.1,298.15,
R00067,115.8,5.8,8.5,0.1,298.15,
R00068,,,8.5,0.1,298.15,uncertainty is too high
R00069,162.7,15.4,8.5,0.1,298.15,
R00070,-643.3,97.2,8.5,0.1,298.15,
R00072,,,8.5,0.1,298.15,uncertainty is too high
R00073,,,8.5,0.1,298.15,uncertainty is too high
R00074,,,8.5,0.1,298.15,uncertainty is too high
R00075,,,8.5,0.1,298.15,uncertainty is too high
R00076,,,8.5,0.1,298.15,uncertainty is too high
R00077,,,8.5,0.1,298.15,uncertainty is too high
R00078,-11.0,33.5,8.5,0.1,298.15,
R00080,,,8.5,0.1,298.15,uncertainty is too high
R00081,,,8.5,0.1,298.15,uncertainty is too high
R00082,,,8.5,0.1,298.15,uncertainty is too high
R00083,,,8.5,0.1,298.15,uncertainty is too high
R00084,-125.7,45.0,8.5,0.1,298.15,
R00085,-66.6,1.2,8.5,0.1,298.15,
R00086,-33.9,0.6,8.5,0.1,298.15,
R00087,-50.0,1.1,8.5,0.1,298.15,
R00088,-50.1,7.0,8.5,0.1,298.15,
R00089,-0.1,2.0,8.5,0.1,298.15,
R00090,-318.0,6.4,8.5,0.1,298.15,
R00091,-13.8,6.6,8.5,0.1,298.15,
R00092,215.9,16.4,8.5,0.1,298.15,
R00093,41.5,1.8,8.5,0.1,298.15,
R00094,9.2,1.7,8.5,0.1,298.15,
R00095,,,8.5,0.1,298.15,uncertainty is too high
R00097,,,8.5,0.1,298.15,uncertainty is too high
R00099,,,8.5,0.1,298.15,uncertainty is too high
R00100,,,8.5,0.1,298.15,uncertainty is too high
R00101,,,8.5,0.1,298.15,uncertainty is too high
R00102,-50.2,6.3,8.5,0.1,298.15,
R00103,-52.4,5.9,8.5,0.1,298.15,
R00104,-20.0,5.8,8.5,0.1,298.15,
R00105,-19.0,5.8,8.5,0.1,298.15,
R00106,,,8.5,0.1,298.15,uncertainty is too high
R00107,,,8.5,0.1,298.15,uncertainty is too high
R00108,,,8.5,0.1,298.15,uncertainty is too high
R00109,,,8.5,0.1,298.15,uncertainty is too high
R00111,,,8.5,0.1,298.15,uncertainty is too high
R00112,-1.0,0.7,8.5,0.1,298.15,
R00113,-318.9,6.5,8.5,0.1,298.15,
R00114,42.5,1.9,8.5,0.1,298.15,
R00115,10.2,1.6,8.5,0.1,298.15,
R00118,-13.9,5.8,8.5,0.1,298.15,
R00119,-47.9,6.5,8.5,0.1,298.15,
R00120,-115.6,8.4,8.5,0.1,298.15,
R00122,-32.7,0.6,8.5,0.1,298.15,
R00123,-53.9,7.6,8.5,0.1,298.15,
R00125,-51.0,18.3,8.5,0.1,298.15,
R00126,17.1,18.3,8.5,0.1,298.15,
R00127,-1.2,0.3,8.5,0.1,298.15,
R00128,-40.0,5.8,8.5,0.1,298.15,
R00129,-62.9,25.2,8.5,0.1,298.15,
R00130,-5.1,5.8,8.5,0.1,298.15,
R00131,-14.5,9.0,8.5,0.1,298.15,
R00132,,,8.5,0.1,298.15,uncertainty is too high
R00134,-13.1,6.5,8.5,0.1,298.15,
R00135,295.8,11.0,8.5,0.1,298.15,
R00137,2.4,5.8,8.5,0.1,298.15,
