!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol),!sigma[dG0] (kJ/mol),!pH,!I (mM),!T (Kelvin),!Note
R00002,-800.1,47.4,7.5,0.1,298.15,
R00004,-16.2,0.4,7.5,0.1,298.15,
R00005,-70.4,15.2,7.5,0.1,298.15,
R00006,29.4,7.4,7.5,0.1,298.15,
R00008,16.3,4.7,7.5,0.1,298.15,
R00009,-193.1,13.3,7.5,0.1,298.15,
R00010,-11.7,2.1,7.5,0.1,298.15,
R00011,,,7.5,0.1,298.15,uncertainty is too high
R00012,15.3,15.0,7.5,0.1,298.15,
R00013,-16.8,8.8,7.5,0.1,298.15,
R00014,,,7.5,0.1,298.15,uncertainty is too high
R00015,-6.2,10.7,7.5,0.1,298.15,
R00016,-1.3,5.2,7.5,0.1,298.15,
R00017,,,7.5,0.1,298.15,uncertainty is too high
R00018,-0.9,15.6,7.5,0.1,298.15,
R00019,18.6,13.0,7.5,0.1,298.15,
R00021,65.4,11.8,7.5,0.1,298.15,
R00022,-13.6,18.3,7.5,0.1,298.15,
R00023,,,7.5,0.1,298.15,uncertainty is too high
R00024,-33.9,7.5,7.5,0.1,298.15,
R00025,,,7.5,0.1,298.15,uncertainty is too high
R00026,-12.9,3.7,7.5,0.1,298.15,
R00027,7.8,20.1,7.5,0.1,298.15,
R00028,-14.6,3.1,7.5,0.1,298.15,
R00029,,,7.5,0.1,298.15,uncertainty is too high
R00031,-522.6,15.4,7.5,0.1,298.15,
R00032,-364.5,88.8,7.5,0.1,298.15,
R00033,,,7.5,0.1,298.15,uncertainty is too high
R00034,,,7.5,0.1,298.15,uncertainty is too high
R00036,-110.3,9.7,7.5,0.1,298.15,
R00038,-10.0,4.4,7.5,0.1,298.15,
R00039,1.0,6.3,7.5,0.1,298.15,
R00041,,,7.5,0.1,298.15,uncertainty is too high
R00042,-671.6,20.3,7.5,0.1,298.15,
R00043,-370.2,26.8,7.5,0.1,298.15,
R00044,,,7.5,0.1,298.15,uncertainty is too high
R00045,-383.9,20.7,7.5,0.1,298.15,
R00047,,,7.5,0.1,298.15,uncertainty is too high
R00048,-52.2,9.7,7.5,0.1,298.15,
R00049,-8.3,39.2,7.5,0.1,298.15,
R00052,,,7.5,0.1,298.15,uncertainty is too high
R00053,-59.9,33.2,7.5,0.1,298.15,
R00054,-60.7,24.7,7.5,0.1,298.15,
R00055,-423.3,10.5,7.5,0.1,298.15,
R00056,,,7.5,0.1,298.15,uncertainty is too high
R00057,,,7.5,0.1,298.15,uncertainty is too high
R00058,-277.5,24.5,7.5,0.1,298.15,
R00059,2.7,11.1,7.5,0.1,298.15,
R00060,,,7.5,0.1,298.15,uncertainty is too high
R00061,,,7.5,0.1,298.15,uncertainty is too high
R00062,0.0,162.8,7.5,0.1,298.15,
R00063,-6.5,7.8,7.5,0.1,298.15,
R00066,-159.5,34.0,7.5,0.1,298.15,
R00067,104.4,5.8,7.5,0.1,298.15,
R00068,,,7.5,0.1,298.15,uncertainty is too high
R00069,162.7,15.4,7.5,0.1,298.15,
R00070,-654.6,97.2,7.5,0.1,298.15,
R00072,,,7.5,0.1,298.15,uncertainty is too high
R00073,,,7.5,0.1,298.15,uncertainty is too high
R00074,,,7.5,0.1,298.15,uncertainty is too high
R00075,,,7.5,0.1,298.15,uncertainty is too high
R00076,,,7.5,0.1,298.15,uncertainty is too high
R00077,,,7.5,0.1,298.15,uncertainty is too high
R00078,-34.1,33.5,7.5,0.1,298.15,
R00080,,,7.5,0.1,298.15,uncertainty is too high
R00081,,,7.5,0.1,298.15,uncertainty is too high
R00082,,,7.5,0.1,298.15,uncertainty is too high
