!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol),!sigma[dG0] (kJ/mol),!pH,!I (mM),!T (Kelvin),!Note
R00083,,,7.5,0.1,298.15,uncertainty is too high
R00084,-127.9,45.0,7.5,0.1,298.15,
R00085,-55.4,1.2,7.5,0.1,298.15,
R00086,-28.6,0.6,7.5,0.1,298.15,
R00087,-39.2,1.1,7.5,0.1,298.15,
R00088,-55.0,7.0,7.5,0.1,298.15,
R00089,5.1,2.0,7.5,0.1,298.15,
R00090,-323.7,6.4,7.5,0.1,298.15,
R00091,-9.1,6.6,7.5,0.1,298.15,
R00092,210.1,16.4,7.5,0.1,298.15,
R00093,46.6,1.8,7.5,0.1,298.15,
R00094,13.7,1.7,7.5,0.1,298.15,
R00095,,,7.5,0.1,298.15,uncertainty is too high
R00097,,,7.5,0.1,298.15,uncertainty is too high
R00099,,,7.5,0.1,298.15,uncertainty is too high
R00100,,,7.5,0.1,298.15,uncertainty is too high
R00101,,,7.5,0.1,298.15,uncertainty is too high
R00102,-39.6,6.3,7.5,0.1,298.15,
R00103,-41.2,5.9,7.5,0.1,298.15,
R00104,-14.4,5.8,7.5,0.1,298.15,
R00105,-13.5,5.8,7.5,0.1,298.15,
R00106,,,7.5,0.1,298.15,uncertainty is too high
R00107,,,7.5,0.1,298.15,uncertainty is too high
R00108,,,7.5,0.1,298.15,uncertainty is too high
R00109,,,7.5,0.1,298.15,uncertainty is too high
R00111,,,7.5,0.1,298.15,uncertainty is too high
R00112,-1.0,0.7,7.5,0.1,298.15,
R00113,-324.6,6.5,7.5,0.1,298.15,
R00114,47.5,1.9,7.5,0.1,298.15,
R00115,14.6,1.6,7.5,0.1,298.15,
R00118,-14.1,5.8,7.5,0.1,298.15,
R00119,-37.2,6.5,7.5,0.1,298.15,
R00120,-116.9,8.4,7.5,0.1,298.15,
R00122,-26.8,0.6,7.5,0.1,298.15,
R00123,-58.8,7.6,7.5,0.1,298.15,
R00125,-40.4,18.3,7.5,0.1,298.15,
R00126,11.8,18.3,7.5,0.1,298.15,
R00127,-1.7,0.3,7.5,0.1,298.15,
R00128,-34.6,5.8,7.5,0.1,298.15,
R00129,-57.6,25.2,7.5,0.1,298.15,
R00130,0.9,5.8,7.5,0.1,298.15,
R00131,-24.3,9.0,7.5,0.1,298.15,
R00132,,,7.5,0.1,298.15,uncertainty is too high
R00134,-13.1,6.5,7.5,0.1,298.15,
R00135,255.8,11.0,7.5,0.1,298.15,
R00137,2.0,5.8,7.5,0.1,298.15,
R00138,,,7.5,0.1,298.15,uncertainty is too high
R00139,2.6,17.6,7.5,0.1,298.15,
R00140,-1.0,16.1,7.5,0.1,298.15,
R00141,,,7.5,0.1,298.15,uncertainty is too high
R00143,,,7.5,0.1,298.15,uncertainty is too high
R00145,,,7.5,0.1,298.15,uncertainty is too high
R00146,,,7.5,0.1,298.15,uncertainty is too high
R00148,,,7.5,0.1,298.15,uncertainty is too high
R00149,-9.6,7.9,7.5,0.1,298.15,
R00150,19.0,7.9,7.5,0.1,298.15,
R00152,,,7.5,0.1,298.15,uncertainty is too high
R00153,-121.0,7.2,7.5,0.1,298.15,
R00155,-23.9,6.3,7.5,0.1,298.15,
R00156,-2.6,2.5,7.5,0.1,298.15,
R00157,0.9,2.5,7.5,0.1,298.15,
R00158,-4.7,6.3,7.5,0.1,298.15,
R00159,-26.0,2.5,7.5,0.1,298.15,
R00160,-25.9,9.4,7.5,0.1,298.15,
R00161,-13.3,9.4,7.5,0.1,298.15,
R00162,,,7.5,0.1,298.15,uncertainty is too high
R00164,,,7.5,0.1,298.15,uncertainty is too high
R00165,,,7.5,0.1,298.15,uncertainty is too high
R00166,,,7.5,0.1,298.15,uncertainty is too high
R00167,,,7.5,0.1,298.15,uncertainty is too high
R00168,,,7.5,0.1,298.15,uncertainty is too high
R00169,,,7.5,0.1,298.15,uncertainty is too high
R00170,,,7.5,0.1,298.15,uncertainty is too high
R00172,,,7.5,0.1,298.15,uncertainty is too high
R00173,-11.5,14.6,7.5,0.1,298.15,
R00174,-17.0,3.9,7.5,0.1,298.15,
R00175,,,7.5,0.1,298.15,uncertainty is too high
R00177,,,7.5,0.1,298.15,uncertainty is too high
R00178,,,7.5,0.1,298.15,uncertainty is too high
R00179,,,7.5,0.1,298.15,uncertainty is too high
R00180,,,7.5,0.1,298.15,uncertainty is too high
R00181,-28.8,3.8,7.5,0.1,298.15,
R00182,-17.6,3.0,7.5,0.1,298.15,
R00183,-13.8,2.8,7.5,0.1,298.15,
R00184,-38.7,18.3,7.5,0.1,298.15,
R00185,-14.7,2.8,7.5,0.1,298.15,
R00187,,,7.5,0.1,298.15,uncertainty is too high
R00188,-10.5,6.1,7.5,0.1,298.15,
R00189,-21.0,25.3,7.5,0.1,298.15,
R00190,18.9,2.6,7.5,0.1,298.15,
R00191,-44.2,2.2,7.5,0.1,298.15,
R00192,34.7,5.8,7.5,0.1,298.15,
R00193,-20.6,5.6,7.5,0.1,298.15,
R00194,-15.1,5.4,7.5,0.1,298.15,
R00195,-2.6,7.3,7.5,0.1,298.15,
R00196,,,7.5,0.1,298.15,uncertainty is too high
R00197,,,7.5,0.1,298.15,uncertainty is too high
R00198,,,7.5,0.1,298.15,uncertainty is too high
R00199,-1.8,1.0,7.5,0.1,298.15,
R00200,25.1,0.8,7.5,0.1,298.15,
R00203,-34.7,4.1,7.5,0.1,298.15,
R00205,-33.8,4.1,7.5,0.1,298.15,
R00206,14.5,1.0,7.5,0.1,298.15,
R00207,-156.4,10.4,7.5,0.1,298.15,
R00208,-53.7,1.1,7.5,0.1,298.15,
R00209,-35.3,6.4,7.5,0.1,298.15,
R00210,-34.3,6.4,7.5,0.1,298.15,
R00211,-165.9,10.3,7.5,0.1,298.15,
R00212,21.2,3.0,7.5,0.1,298.15,
R00213,,,7.5,0.1,298.15,uncertainty is too high
R00214,13.0,6.2,7.5,0.1,298.15,
R00215,22.3,10.3,7.5,0.1,298.15,
R00216,14.0,6.2,7.5,0.1,298.15,
R00217,-14.5,6.2,7.5,0.1,298.15,
R00218,,,7.5,0.1,298.15,uncertainty is too high
R00219,20.2,8.5,7.5,0.1,298.15,
R00220,-28.6,1.8,7.5,0.1,298.15,
R00221,-27.7,5.8,7.5,0.1,298.15,
R00223,-28.8,3.5,7.5,0.1,298.15,
R00224,-15.5,6.5,7.5,0.1,298.15,
R00226,29.4,7.4,7.5,0.1,298.15,
R00227,-32.9,1.0,7.5,0.1,298.15,
R00228,-19.8,2.4,7.5,0.1,298.15,
R00229,4.3,0.8,7.5,0.1,298.15,
R00230,9.4,1.2,7.5,0.1,298.15,
R00233,-15.0,6.3,7.5,0.1,298.15,
R00234,,,7.5,0.1,298.15,uncertainty is too high
R00235,-6.3,0.8,7.5,0.1,298.15,
R00236,,,7.5,0.1,298.15,uncertainty is too high
R00237,9.2,30.2,7.5,0.1,298.15,
R00238,26.1,1.7,7.5,0.1,298.15,
R00239,26.7,4.5,7.5,0.1,298.15,
R00241,22.5,4.5,7.5,0.1,298.15,
R00243,35.1,0.6,7.5,0.1,298.15,
R00245,-49.3,4.0,7.5,0.1,298.15,
R00248,36.0,0.7,7.5,0.1,298.15,
R00250,-95.5,8.3,7.5,0.1,298.15,
R00251,-9.2,6.2,7.5,0.1,298.15,
R00253,-17.1,1.6,7.5,0.1,298.15,
R00254,49.3,9.5,7.5,0.1,298.15,
R00256,-11.5,1.7,7.5,0.1,298.15,
R00257,-32.5,25.3,7.5,0.1,298.15,
R00258,-0.2,1.1,7.5,0.1,298.15,
R00259,-30.2,6.5,7.5,0.1,298.15,
R00260,0.6,4.3,7.5,0.1,298.15,
R00261,-22.1,6.9,7.5,0.1,298.15,
R00262,-7.4,4.7,7.5,0.1,298.15,
R00263,,,7.5,0.1,298.15,uncertainty is too high
R00264,-40.9,4.0,7.5,0.1,298.15,
R00265,-26.2,7.7,7.5,0.1,298.15,
R00267,6.4,6.3,7.5,0.1,298.15,
R00268,-12.7,7.8,7.5,0.1,298.15,
R00269,0.2,4.7,7.5,0.1,298.15,
R00270,41.4,6.4,7.5,0.1,298.15,
R00271,-31.3,5.4,7.5,0.1,298.15,
R00272,-16.0,6.7,7.5,0.1,298.15,
R00273,-159.3,15.4,7.5,0.1,298.15,
R00274,-310.0,6.6,7.5,0.1,298.15,
R00275,,,7.5,0.1,298.15,uncertainty is too high
R00276,177.8,11.7,7.5,0.1,298.15,
R00277,-97.1,17.0,7.5,0.1,298.15,
R00278,-112.3,16.8,7.5,0.1,298.15,
R00279,-96.1,9.3,7.5,0.1,298.15,
R00280,,,7.5,0.1,298.15,uncertainty is too high
R00281,,,7.5,0.1,298.15,uncertainty is too high
R00282,,,7.5,0.1,298.15,uncertainty is too high
R00283,,,7.5,0.1,298.15,uncertainty is too high
R00284,,,7.5,0.1,298.15,uncertainty is too high
R00286,-21.7,4.3,7.5,0.1,298.15,
R00287,-35.1,7.5,7.5,0.1,298.15,
R00289,1.4,1.1,7.5,0.1,298.15,
R00291,2.9,1.6,7.5,0.1,298.15,
R00292,216.2,3.0,7.5,0.1,298.15,
R00293,-56.1,4.9,7.5,0.1,298.15,
R00294,,,7.5,0.1,298.15,uncertainty is too high
R00295,,,7.5,0.1,298.15,uncertainty is too high
R00296,,,7.5,0.1,298.15,uncertainty is too high
R00297,,,7.5,0.1,298.15,uncertainty is too high
R00298,,,7.5,0.1,298.15,uncertainty is too high
R00299,-19.8,0.9,7.5,0.1,298.15,
R00300,-6.3,2.2,7.5,0.1,298.15,
R00301,-7.4,4.1,7.5,0.1,298.15,
R00302,-126.5,8.9,7.5,0.1,298.15,
R00303,-8.8,0.9,7.5,0.1,298.15,
R00304,-16.2,1.6,7.5,0.1,298.15,
R00305,,,7.5,0.1,298.15,uncertainty is too high
R00306,-12.9,3.7,7.5,0.1,298.15,
R00307,-0.1,0.6,7.5,0.1,298.15,
R00308,-243.6,1.6,7.5,0.1,298.15,
R00310,,,7.5,0.1,298.15,uncertainty is too high
R00311,,,7.5,0.1,298.15,uncertainty is too high
R00312,,,7.5,0.1,298.15,uncertainty is too high
R00313,,,7.5,0.1,298.15,uncertainty is too high
R00314,,,7.5,0.1,298.15,uncertainty is too high
R00315,13.7,1.1,7.5,0.1,298.15,
R00316,,,7.5,0.1,298.15,uncertainty is too high
R00317,-42.3,1.3,7.5,0.1,298.15,
R00318,-84.1,13.8,7.5,0.1,298.15,
R00319,-497.7,8.8,7.5,0.1,298.15,
R00320,26.0,1.3,7.5,0.1,298.15,
R00321,-22.9,4.7,7.5,0.1,298.15,
R00322,,,7.5,0.1,298.15,uncertainty is too high
R00324,-59.9,4.2,7.5,0.1,298.15,
R00325,2.2,2.3,7.5,0.1,298.15,
R00326,,,7.5,0.1,298.15,uncertainty is too high
R00327,-31.3,4.6,7.5,0.1,298.15,
R00328,-26.0,2.4,7.5,0.1,298.15,
R00329,,,7.5,0.1,298.15,uncertainty is too high
R00330,-2.5,2.6,7.5,0.1,298.15,
R00331,,,7.5,0.1,298.15,uncertainty is too high
R00332,-2.6,2.4,7.5,0.1,298.15,
R00333,,,7.5,0.1,298.15,uncertainty is too high
R00334,,,7.5,0.1,298.15,uncertainty is too high
R00335,-26.1,2.7,7.5,0.1,298.15,
R00336,,,7.5,0.1,298.15,uncertainty is too high
R00337,-29.0,6.6,7.5,0.1,298.15,
R00338,-53.9,6.7,7.5,0.1,298.15,
R00339,-35.3,3.9,7.5,0.1,298.15,
R00340,-35.3,3.9,7.5,0.1,298.15,
R00341,10.6,6.2,7.5,0.1,298.15,
R00342,27.5,0.6,7.5,0.1,298.15,
R00343,28.4,0.9,7.5,0.1,298.15,
R00344,-6.4,1.4,7.5,0.1,298.15,
R00345,39.2,6.2,7.5,0.1,298.15,
R00346,22.9,6.2,7.5,0.1,298.15,
R00347,-26.6,4.3,7.5,0.1,298.15,
R00348,-7.0,5.0,7.5,0.1,298.15,
R00350,18.8,5.4,7.5,0.1,298.15,
R00351,37.5,0.9,7.5,0.1,298.15,
R00352,8.9,0.9,7.5,0.1,298.15,
R00353,-0.5,2.9,7.5,0.1,298.15,
R00354,15.4,29.9,7.5,0.1,298.15,
R00355,2.9,1.1,7.5,0.1,298.15,
R00357,-92.6,8.3,7.5,0.1,298.15,
R00359,-97.5,9.1,7.5,0.1,298.15,
R00360,-103.1,8.3,7.5,0.1,298.15,
R00361,,,7.5,0.1,298.15,uncertainty is too high
R00362,4.6,0.9,7.5,0.1,298.15,
R00363,5.7,5.8,7.5,0.1,298.15,
R00364,,,7.5,0.1,298.15,uncertainty is too high
R00365,43.1,3.2,7.5,0.1,298.15,
R00366,-87.5,8.8,7.5,0.1,298.15,
R00367,,,7.5,0.1,298.15,uncertainty is too high
R00368,29.3,7.8,7.5,0.1,298.15,
R00369,-8.3,3.3,7.5,0.1,298.15,
R00371,36.7,4.1,7.5,0.1,298.15,
R00372,8.1,3.2,7.5,0.1,298.15,
R00373,5.2,3.2,7.5,0.1,298.15,
R00374,,,7.5,0.1,298.15,uncertainty is too high
R00375,153.8,7.3,7.5,0.1,298.15,
R00376,,,7.5,0.1,298.15,uncertainty is too high
R00377,477.8,9.9,7.5,0.1,298.15,
R00378,657.3,10.3,7.5,0.1,298.15,
R00380,,,7.5,0.1,298.15,uncertainty is too high
R00383,,,7.5,0.1,298.15,uncertainty is too high
R00384,,,7.5,0.1,298.15,uncertainty is too high
R00385,,,7.5,0.1,298.15,uncertainty is too high
R00387,,,7.5,0.1,298.15,uncertainty is too high
R00388,,,7.5,0.1,298.15,uncertainty is too high
R00389,,,7.5,0.1,298.15,uncertainty is too high
R00390,,,7.5,0.1,298.15,uncertainty is too high
R00391,,,7.5,0.1,298.15,uncertainty is too high
R00392,,,7.5,0.1,298.15,uncertainty is too high
R00393,,,7.5,0.1,298.15,uncertainty is too high
R00394,,,7.5,0.1,298.15,uncertainty is too high
R00395,,,7.5,0.1,298.15,uncertainty is too high
R00396,34.8,1.1,7.5,0.1,298.15,
R00397,-11.4,6.3,7.5,0.1,298.15,
R00398,32.3,5.8,7.5,0.1,298.15,
R00399,34.6,7.2,7.5,0.1,298.15,
R00400,-3.1,1.4,7.5,0.1,298.15,
R00401,-0.0,2.0,7.5,0.1,298.15,
R00402,60.3,4.1,7.5,0.1,298.15,
R00405,-1.2,2.6,7.5,0.1,298.15,
R00406,-4.8,7.4,7.5,0.1,298.15,
R00407,-27.4,2.7,7.5,0.1,298.15,
R00408,49.0,7.1,7.5,0.1,298.15,
R00409,9.3,5.9,7.5,0.1,298.15,
R00410,11.2,1.3,7.5,0.1,298.15,
R00411,-2.4,7.0,7.5,0.1,298.15,
R00412,,,7.5,0.1,298.15,uncertainty is too high
R00414,-25.6,6.6,7.5,0.1,298.15,
R00416,-2.2,10.6,7.5,0.1,298.15,
R00417,,,7.5,0.1,298.15,uncertainty is too high
R00418,0.0,5.3,7.5,0.1,298.15,
R00420,0.0,5.3,7.5,0.1,298.15,
R00421,-25.8,5.9,7.5,0.1,298.15,
R00422,,,7.5,0.1,298.15,uncertainty is too high
R00423,,,7.5,0.1,298.15,uncertainty is too high
R00424,-92.2,14.3,7.5,0.1,298.15,
R00425,-71.9,11.2,7.5,0.1,298.15,
R00426,-35.8,3.7,7.5,0.1,298.15,
R00428,4.9,5.8,7.5,0.1,298.15,
R00429,-11.9,15.9,7.5,0.1,298.15,
R00430,27.6,2.8,7.5,0.1,298.15,
R00431,13.1,6.7,7.5,0.1,298.15,
R00432,1.3,0.9,7.5,0.1,298.15,
R00434,5.0,5.9,7.5,0.1,298.15,
R00435,323.4,2.8,7.5,0.1,298.15,
R00436,,,7.5,0.1,298.15,uncertainty is too high
R00437,-335.8,2.7,7.5,0.1,298.15,
R00438,-929.5,9.1,7.5,0.1,298.15,
R00439,,,7.5,0.1,298.15,uncertainty is too high
R00440,-664.8,8.6,7.5,0.1,298.15,
R00441,,,7.5,0.1,298.15,uncertainty is too high
R00442,653.0,9.3,7.5,0.1,298.15,
R00443,919.8,9.1,7.5,0.1,298.15,
R00444,,,7.5,0.1,298.15,uncertainty is too high
R00445,16.0,18.6,7.5,0.1,298.15,
R00446,33.1,4.4,7.5,0.1,298.15,
R00447,-104.7,9.2,7.5,0.1,298.15,
R00448,,,7.5,0.1,298.15,uncertainty is too high
R00449,-469.6,9.6,7.5,0.1,298.15,
R00451,-14.4,7.3,7.5,0.1,298.15,
R00452,36.6,12.8,7.5,0.1,298.15,
R00453,-1.7,4.4,7.5,0.1,298.15,
R00454,-26.7,4.2,7.5,0.1,298.15,
R00457,-1.9,4.4,7.5,0.1,298.15,
R00458,-6.1,10.3,7.5,0.1,298.15,
R00459,-93.7,18.5,7.5,0.1,298.15,
R00460,0.0,5.8,7.5,0.1,298.15,
R00461,-4.6,4.1,7.5,0.1,298.15,
R00462,-22.5,6.9,7.5,0.1,298.15,
R00463,17.5,12.1,7.5,0.1,298.15,
R00465,42.7,1.8,7.5,0.1,298.15,
R00466,-159.7,10.6,7.5,0.1,298.15,
R00468,-10.3,2.6,7.5,0.1,298.15,
R00469,-19.4,9.6,7.5,0.1,298.15,
R00470,17.8,3.0,7.5,0.1,298.15,
R00471,15.4,4.4,7.5,0.1,298.15,
R00472,35.6,4.1,7.5,0.1,298.15,
R00473,13.0,5.8,7.5,0.1,298.15,
R00474,25.2,7.7,7.5,0.1,298.15,
R00475,-88.8,8.4,7.5,0.1,298.15,
R00476,,,7.5,0.1,298.15,uncertainty is too high
R00477,21.3,10.3,7.5,0.1,298.15,
R00478,1.5,5.4,7.5,0.1,298.15,
R00479,8.6,2.7,7.5,0.1,298.15,
R00480,18.3,5.8,7.5,0.1,298.15,
R00481,-69.2,9.4,7.5,0.1,298.15,
R00482,-12.1,7.0,7.5,0.1,298.15,
R00483,-22.7,7.1,7.5,0.1,298.15,
R00484,-25.9,9.8,7.5,0.1,298.15,
R00485,-16.4,7.0,7.5,0.1,298.15,
R00486,,,7.5,0.1,298.15,uncertainty is too high
R00487,-20.8,4.7,7.5,0.1,298.15,
R00488,-12.1,4.8,7.5,0.1,298.15,
R00489,-18.1,11.8,7.5,0.1,298.15,
R00490,13.9,0.9,7.5,0.1,298.15,
R00491,4.9,3.9,7.5,0.1,298.15,
R00493,,,7.5,0.1,298.15,uncertainty is too high
R00494,-3.2,5.2,7.5,0.1,298.15,
R00497,-27.3,15.8,7.5,0.1,298.15,
R00499,-31.8,18.9,7.5,0.1,298.15,
R00501,-25.7,5.0,7.5,0.1,298.15,
R00502,-1.5,3.6,7.5,0.1,298.15,
R00503,-12.5,4.4,7.5,0.1,298.15,
R00504,,,7.5,0.1,298.15,uncertainty is too high
R00505,4.6,3.6,7.5,0.1,298.15,
R00506,213.3,3.4,7.5,0.1,298.15,
R00507,-89.3,14.1,7.5,0.1,298.15,
R00508,-12.4,11.5,7.5,0.1,298.15,
R00509,-16.2,11.5,7.5,0.1,298.15,
R00510,-12.5,5.9,7.5,0.1,298.15,
R00511,-14.8,5.4,7.5,0.1,298.15,
R00512,-2.4,5.8,7.5,0.1,298.15,
R00513,-13.8,5.5,7.5,0.1,298.15,
R00514,-26.2,5.8,7.5,0.1,298.15,
R00515,-37.9,4.6,7.5,0.1,298.15,
R00516,-11.2,6.0,7.5,0.1,298.15,
R00517,-11.3,6.0,7.5,0.1,298.15,
R00518,-10.6,11.5,7.5,0.1,298.15,
R00519,-14.1,6.5,7.5,0.1,298.15,
R00521,-13.4,11.5,7.5,0.1,298.15,
R00522,-14.6,8.6,7.5,0.1,298.15,
R00524,-31.7,12.2,7.5,0.1,298.15,
R00525,-33.0,11.0,7.5,0.1,298.15,
R00526,-31.2,11.2,7.5,0.1,298.15,
R00527,-14.0,20.4,7.5,0.1,298.15,
R00528,,,7.5,0.1,298.15,uncertainty is too high
R00529,48.3,2.3,7.5,0.1,298.15,
R00530,60.6,2.3,7.5,0.1,298.15,
R00531,-87.5,2.5,7.5,0.1,298.15,
R00532,,,7.5,0.1,298.15,uncertainty is too high
R00533,-172.7,11.0,7.5,0.1,298.15,
R00534,,,7.5,0.1,298.15,uncertainty is too high
R00535,,,7.5,0.1,298.15,uncertainty is too high
R00536,,,7.5,0.1,298.15,uncertainty is too high
R00537,,,7.5,0.1,298.15,uncertainty is too high
R00538,,,7.5,0.1,298.15,uncertainty is too high
R00539,,,7.5,0.1,298.15,uncertainty is too high
R00540,,,7.5,0.1,298.15,uncertainty is too high
R00542,,,7.5,0.1,298.15,uncertainty is too high
R00543,,,7.5,0.1,298.15,uncertainty is too high
R00544,,,7.5,0.1,298.15,uncertainty is too high
R00545,,,7.5,0.1,298.15,uncertainty is too high
R00546,,,7.5,0.1,298.15,uncertainty is too high
R00547,,,7.5,0.1,298.15,uncertainty is too high
R00548,-30.6,11.7,7.5,0.1,298.15,
R00549,2.0,33.9,7.5,0.1,298.15,
R00550,14.4,33.9,7.5,0.1,298.15,
R00551,-28.6,12.5,7.5,0.1,298.15,
R00552,-34.8,6.7,7.5,0.1,298.15,
R00554,3.6,1.1,7.5,0.1,298.15,
R00555,,,7.5,0.1,298.15,uncertainty is too high
R00557,-1258.1,30.0,7.5,0.1,298.15,
R00558,,,7.5,0.1,298.15,uncertainty is too high
R00559,-458.2,13.5,7.5,0.1,298.15,
R00562,30.2,5.8,7.5,0.1,298.15,
R00563,20.9,18.7,7.5,0.1,298.15,
R00565,-0.3,5.8,7.5,0.1,298.15,
R00566,-11.1,11.9,7.5,0.1,298.15,
R00567,8.4,10.1,7.5,0.1,298.15,
R00568,-24.6,4.8,7.5,0.1,298.15,
R00569,-28.0,4.6,7.5,0.1,298.15,
R00570,-0.6,4.6,7.5,0.1,298.15,
R00571,-4.0,4.8,7.5,0.1,298.15,
R00572,25.7,4.7,7.5,0.1,298.15,
R00573,-15.5,5.1,7.5,0.1,298.15,
R00574,2.7,5.7,7.5,0.1,298.15,
R00575,-13.4,5.2,7.5,0.1,298.15,
R00576,-11.5,4.4,7.5,0.1,298.15,
R00577,,,7.5,0.1,298.15,uncertainty is too high
R00578,-34.2,7.2,7.5,0.1,298.15,
R00579,7.6,6.4,7.5,0.1,298.15,
R00581,38.9,1.6,7.5,0.1,298.15,
R00582,-10.2,0.5,7.5,0.1,298.15,
R00584,-6.1,0.7,7.5,0.1,298.15,
R00585,4.1,1.5,7.5,0.1,298.15,
R00586,-6.9,5.8,7.5,0.1,298.15,
R00588,-4.2,3.4,7.5,0.1,298.15,
R00589,-0.9,5.9,7.5,0.1,298.15,
R00590,-3.9,3.5,7.5,0.1,298.15,
R00594,,,7.5,0.1,298.15,uncertainty is too high
R00595,,,7.5,0.1,298.15,uncertainty is too high
R00596,,,7.5,0.1,298.15,uncertainty is too high
R00597,,,7.5,0.1,298.15,uncertainty is too high
R00598,,,7.5,0.1,298.15,uncertainty is too high
R00599,,,7.5,0.1,298.15,uncertainty is too high
R00600,,,7.5,0.1,298.15,uncertainty is too high
R00601,,,7.5,0.1,298.15,uncertainty is too high
R00602,-292.3,9.2,7.5,0.1,298.15,
R00603,,,7.5,0.1,298.15,uncertainty is too high
R00604,-48.7,3.9,7.5,0.1,298.15,
R00605,31.4,6.5,7.5,0.1,298.15,
R00606,,,7.5,0.1,298.15,uncertainty is too high
R00608,-99.2,10.4,7.5,0.1,298.15,
R00609,,,7.5,0.1,298.15,uncertainty is too high
R00610,-76.9,11.4,7.5,0.1,298.15,
R00611,,,7.5,0.1,298.15,uncertainty is too high
R00612,-69.1,15.5,7.5,0.1,298.15,
R00614,-80.0,8.4,7.5,0.1,298.15,
R00615,,,7.5,0.1,298.15,uncertainty is too high
R00616,,,7.5,0.1,298.15,uncertainty is too high
R00617,-2.5,3.5,7.5,0.1,298.15,
R00618,,,7.5,0.1,298.15,uncertainty is too high
R00619,,,7.5,0.1,298.15,uncertainty is too high
R00621,,,7.5,0.1,298.15,uncertainty is too high
R00623,,,7.5,0.1,298.15,uncertainty is too high
R00624,,,7.5,0.1,298.15,uncertainty is too high
R00625,,,7.5,0.1,298.15,uncertainty is too high
R00626,,,7.5,0.1,298.15,uncertainty is too high
R00627,,,7.5,0.1,298.15,uncertainty is too high
